Lorg/w3c/dom/NamedNodeMap;->getNamedItem
Lorg/w3c/dom/Node;->getNodeValue
Lorg/w3c/dom/Node;->getChildNodes
Lorg/w3c/dom/Node;->getNodeName
Lorg/w3c/dom/Node;->getFirstChild
Landroid/media/MediaScannerConnection;->scanFile
Lorg/apache/http/HttpResponse;->getFirstHeader
Ljava/lang/Byte;->toString
Lorg/apache/http/client/methods/HttpRequestBase;-><init>
Lorg/apache/http/entity/AbstractHttpEntity;-><init>
Ljava/io/RandomAccessFile;->readFully
Ljava/nio/channels/FileChannel;->transferTo
Ljava/net/Proxy;-><init>
Landroid/widget/AdapterView;->getItemAtPosition
Ljavax/crypto/spec/PBEKeySpec;-><init>
Ljava/io/OutputStreamWriter;->close
Landroid/widget/ListView;->setFastScrollEnabled
Landroid/telephony/TelephonyManager;->getLine1Number
Landroid/telephony/SmsMessage;->getDisplayMessageBody
Landroid/app/Service;->onStartCommand
Landroid/preference/PreferenceManager;->setDefaultValues
Landroid/preference/PreferenceActivity;-><init>
Landroid/preference/PreferenceActivity;->onCreate
Landroid/preference/Preference;-><init>
Landroid/content/pm/PackageManager;->getInstalledApplications
Landroid/media/ExifInterface;->setAttribute
Landroid/content/OperationApplicationException;->getMessage
Landroid/content/ContentProviderOperation$Builder;->withValues
Ljava/io/ByteArrayInputStream;->read
Landroid/net/NetworkInfo;->getExtraInfo
Landroid/content/Intent;->setClass
Landroid/telephony/TelephonyManager;->getCellLocation
Lorg/apache/http/client/HttpClient;->getParams
Landroid/app/Service;->onUnbind
Landroid/widget/GridView;->setVisibility
Landroid/app/WallpaperManager;->getInstance
Landroid/app/WallpaperManager;->setBitmap
Ljava/util/Vector;->elementAt
Landroid/widget/TabHost;->newTabSpec
Landroid/widget/TabHost$TabSpec;->setIndicator
Landroid/widget/TabHost;->addTab
Landroid/content/Context;->stopService
Landroid/os/AsyncTask;->isCancelled
Landroid/view/View;->onLayout
Landroid/content/ComponentName;->toString
Landroid/opengl/GLES20;->glGetIntegerv
Landroid/view/WindowManager;->removeViewImmediate
Landroid/app/DatePickerDialog;->show
Landroid/location/LocationManager;->getProvider
Landroid/telephony/SmsManager;->sendMultipartTextMessage
Landroid/app/TimePickerDialog;-><init>
Landroid/app/TimePickerDialog;->show
Ljava/util/Vector;->addElement
Landroid/telephony/gsm/SmsMessage;->getMessageBody
Landroid/telephony/gsm/SmsMessage;->getOriginatingAddress
Lorg/apache/http/impl/client/BasicResponseHandler;-><init>
Lorg/apache/http/client/methods/HttpPost;->setHeader
Ljava/util/Random;->setSeed
Ljava/util/zip/ZipEntry;->setSize
Ljava/lang/StringBuffer;->setCharAt
Ljava/text/MessageFormat;->format
Ljava/lang/Process;->waitFor
Landroid/widget/ListView;->setScrollingCacheEnabled
Landroid/support/v4/app/FragmentContainer;->findViewById
Landroid/support/v4/app/FragmentActivity;->getText
Landroid/support/v4/app/FragmentActivity;->getLoaderManager
Landroid/support/v4/app/FragmentManagerImpl;->attachActivity
Landroid/support/v4/app/FragmentActivity$2;-><init>
Landroid/support/v4/app/FragmentActivity;->invalidateSupportFragment
Landroid/support/v4/app/FragmentActivity;->getClassLoader
Ljava/util/logging/Logger;->warning
Ljava/io/DataOutputStream;->writeBytes
Ljava/util/zip/ZipInputStream;->close
Ljava/util/zip/ZipInputStream;->read
Landroid/widget/Gallery;->setOnItemClickListener
Landroid/widget/Gallery;->setAdapter
Landroid/app/FragmentTransaction;->replace
Landroid/location/LocationManager;->getAllProviders
Landroid/app/AlertDialog;->getWindow
Landroid/app/ActivityManager;->getRunningServices
Landroid/widget/ToggleButton;->setChecked
Landroid/app/ActionBar;->setTitle
Landroid/telephony/gsm/SmsManager;->getDefault
Landroid/telephony/gsm/SmsManager;->sendTextMessage
Ljava/lang/NoClassDefFoundError;-><init>
Ljava/lang/Process;->destroy
Ljava/util/concurrent/ScheduledExecutorService;->isShutdown
Ljava/util/concurrent/ThreadPoolExecutor;->isShutdown
Ljava/io/FileReader;->read
Landroid/opengl/Matrix;->multiplyMM
Landroid/opengl/GLES20;->glClear
Landroid/opengl/GLES20;->glEnable
Landroid/opengl/GLES20;->glBlendFunc
Landroid/opengl/GLES20;->glFrontFace
Landroid/opengl/GLES20;->glActiveTexture
Landroid/opengl/GLES20;->glUniformMatrix4fv
Landroid/opengl/GLES20;->glDisableVertexAttribArray
Landroid/opengl/Matrix;->scaleM
Landroid/opengl/Matrix;->setIdentityM
Landroid/opengl/Matrix;->translateM
Landroid/webkit/WebView;->setHorizontalScrollbarOverlay
Landroid/webkit/WebView;->removeAllViews
Landroid/widget/ProgressBar;->getProgress
Landroid/app/AlertDialog$Builder;->setAdapter
Landroid/text/Editable;->toString
Landroid/content/pm/PackageManager;->getPackageArchiveInfo
Landroid/widget/LinearLayout;->setBackgroundResource
Landroid/text/format/DateFormat;->format
Landroid/os/StrictMode$ThreadPolicy$Builder;->detectNetwork
Landroid/widget/ScrollView;->fullScroll
Lorg/w3c/dom/Document;->createElement
Landroid/graphics/Paint;->getTextWidths
Landroid/app/admin/DeviceAdminReceiver;-><init>
Landroid/app/admin/DeviceAdminReceiver;->onReceive
Landroid/app/admin/DevicePolicyManager;->lockNow
Landroid/app/admin/DevicePolicyManager;->isAdminActive
Landroid/widget/RadioButton;->isChecked
Landroid/widget/EditText;->setKeyListener
Landroid/widget/TabHost;->setCurrentTab
Landroid/telephony/TelephonyManager;->getSimSerialNumber
Landroid/telephony/TelephonyManager;->getSubscriberId
Landroid/media/AudioManager;->setRingerMode
Landroid/net/NetworkInfo;->getState
Landroid/support/v4/app/NotificationCompatIceCreamSandwich;->add
Landroid/support/v4/app/NotificationCompatJellybean;-><init>
Landroid/support/v4/app/NotificationCompatJellybean;->addAction
Landroid/support/v4/app/NotificationCompatJellybean;->build
Landroid/view/View;->postInvalidateDelayed
Lcom/google/android/gcm/GCMRegistrar;->checkDevice
Lcom/google/android/gcm/GCMRegistrar;->checkManifest
Landroid/content/res/XmlResourceParser;->getAttributeCount
Landroid/app/ActionBar;->setDisplayHomeAsUpEnabled
Landroid/app/IntentService;->onStartCommand
Landroid/os/CountDownTimer;->start
Landroid/view/SurfaceHolder;->lockCanvas
Landroid/view/SurfaceHolder;->unlockCanvasAndPost
Landroid/widget/RelativeLayout;->startAnimation
Landroid/app/Activity;->onUserLeaveHint
Landroid/webkit/WebView;->onKeyDown
Landroid/widget/RelativeLayout;->updateViewLayout
Landroid/opengl/GLES20;->glClearColor
Ljavax/net/ssl/HttpsURLConnection;->getHostnameVerifier
Landroid/media/AudioManager;->getRouting
Landroid/media/AudioManager;->setRouting
Landroid/app/Service;->onStart
Lorg/apache/http/client/utils/URLEncodedUtils;->format
Landroid/view/WindowManager;->updateViewLayout
Landroid/opengl/GLSurfaceView;->onDetachedFromWindow
Landroid/widget/ViewFlipper;-><init>
Ln;->a
Landroid/support/v4/widget/DrawerLayout$AccessibilityDelegate;->filter
Landroid/support/v4/widget/SlidingPaneLayout;->access$900
Lcom/facebook/android/FbDialog;->dismiss
Lcom/facebook/android/FbDialog;->getContext
Lcom/google/ads/AdActivity;->getApplicationContext
Lcom/google/ads/AdActivity;->getIntent
Lcom/google/ads/util/AdUtil;->b
Lcom/google/ads/util/AdUtil;->a
Lcom/google/ads/util/AdUtil;->c
Lcom/google/ads/util/a;->b
Lcom/google/ads/util/AdUtil;->d
Lcom/google/ads/util/c;->a
Landroid/os/StrictMode$ThreadPolicy$Builder;->penaltyLog
Landroid/os/StrictMode$VmPolicy$Builder;-><init>
Landroid/os/StrictMode$VmPolicy$Builder;->penaltyLog
Landroid/os/StrictMode$VmPolicy$Builder;->build
Landroid/os/StrictMode;->setVmPolicy
Lorg/apache/http/client/methods/HttpGet;->addHeader
Lorg/apache/http/client/methods/HttpGet;->abort
Landroid/widget/RemoteViews;->setProgressBar
Landroid/webkit/WebView;->setVerticalScrollbarOverlay
Lorg/w3c/dom/Element;->getAttributeNode
Landroid/widget/ListView;->setOnTouchListener
Landroid/widget/CheckedTextView;->isChecked
Ljava/util/zip/ZipOutputStream;->flush
Ljava/util/zip/ZipOutputStream;->finish
Landroid/widget/ImageButton;->setFocusable
Landroid/webkit/WebView;->setInitialScale
Lorg/apache/http/util/ByteArrayBuffer;->toByteArray
Lorg/apache/commons/codec/net/RFC1522Codec;-><init>
Ljavax/crypto/CipherOutputStream;-><init>
Ljavax/crypto/CipherOutputStream;->close
Ljavax/crypto/CipherOutputStream;->write
Ljava/io/OutputStreamWriter;->append
Landroid/widget/CheckBox;->setText
La/a/a/a/j;->c
Landroid/support/v4/widget/DrawerLayout;->checkDrawerViewGravity
Landroid/support/v4/widget/DrawerLayout;->getDrawerViewGravity
Landroid/support/v4/app/FragmentActivity;->onOptionsItemSelected
Landroid/webkit/WebSettings;->setTextZoom
Landroid/widget/ViewFlipper;->getCurrentView
Landroid/widget/ViewFlipper;->addView
Lcom/google/android/maps/ItemizedOverlay;-><init>
Lcom/google/android/maps/MapView;->getController
Lcom/google/android/maps/OverlayItem;->getPoint
Lcom/google/android/maps/MapView;->getContext
Lcom/google/android/maps/MapView;->getOverlays
Lcom/google/android/maps/MapView$LayoutParams;-><init>
Lcom/google/android/maps/MapController;->animateTo
Lcom/google/android/maps/MapView;->addView
Lcom/google/android/maps/GeoPoint;->getLatitudeE6
Lcom/google/android/maps/GeoPoint;->getLongitudeE6
Lcom/google/android/maps/OverlayItem;->getTitle
Lcom/google/android/maps/OverlayItem;->getSnippet
Lcom/google/android/maps/GeoPoint;-><init>
Lcom/google/android/maps/OverlayItem;-><init>
Lorg/vudroid/pdfdroid/codec/PdfContext;-><init>
Lorg/vudroid/pdfdroid/codec/PdfDocument;->openDocument
Lorg/vudroid/pdfdroid/codec/PdfDocument;->open
Lorg/vudroid/pdfdroid/codec/PdfDocument;-><init>
Lorg/vudroid/pdfdroid/codec/PdfDocument;->recycle
Lorg/vudroid/pdfdroid/codec/PdfPage;->createPage
Lorg/vudroid/pdfdroid/codec/PdfDocument;->getPageCount
Lorg/vudroid/pdfdroid/codec/PdfDocument;->free
Lorg/vudroid/pdfdroid/codec/PdfPage;->open
Lorg/vudroid/pdfdroid/codec/PdfPage;-><init>
Lorg/vudroid/pdfdroid/codec/PdfPage;->getMediaBox
Lorg/vudroid/pdfdroid/codec/PdfPage;->recycle
Lorg/vudroid/pdfdroid/codec/PdfPage;->free
Lorg/vudroid/pdfdroid/codec/PdfPage;->nativeCreateView
Lorg/vudroid/pdfdroid/codec/PdfPage;->render
Lcom/google/ads/internal/AdWebView;->b
Lcom/google/ads/internal/AdWebView;->c
Lcom/google/ads/internal/AdWebView;->d
Lcom/google/ads/AdActivity;->startActivityForResult
Lcom/google/ads/AdActivity;->getOpeningAdWebView
Lcom/google/ads/m;->b
Lcom/google/ads/o;-><init>
Lcom/google/ads/util/c;->b
Landroid/content/ComponentName;->getShortClassName
Landroid/app/DatePickerDialog;->setTitle
Ljava/util/Properties;->get
Lmono/android/Runtime;->register
Lmono/android/TypeManager;->Activate
Landroid/preference/PreferenceFragment;-><init>
Landroid/preference/PreferenceFragment;->onCreate
Lorg/apache/http/HttpException;-><init>
Lorg/apache/http/ProtocolException;-><init>
Lorg/apache/http/auth/AuthenticationException;-><init>
Lorg/apache/http/params/HttpAbstractParamBean;-><init>
Lorg/apache/http/client/RedirectException;-><init>
Lorg/apache/http/message/AbstractHttpMessage;-><init>
Lorg/apache/http/conn/ConnectTimeoutException;-><init>
Lorg/apache/http/conn/routing/RouteInfo$LayerType;-><init>
Lorg/apache/http/conn/routing/RouteInfo$TunnelType;-><init>
Lorg/apache/http/impl/SocketHttpClientConnection;-><init>
Lorg/apache/http/impl/auth/RFC2617Scheme;-><init>
Lorg/apache/http/impl/auth/AuthSchemeBase;-><init>
Lorg/apache/http/params/AbstractHttpParams;-><init>
Lorg/apache/http/impl/client/AbstractHttpClient;-><init>
Lorg/apache/http/impl/client/AbstractAuthenticationHandler;-><init>
Lorg/apache/http/impl/io/AbstractMessageParser;-><init>
Lorg/apache/http/impl/conn/AbstractPooledConnAdapter;-><init>
Lorg/apache/http/impl/conn/AbstractPoolEntry;-><init>
Lorg/apache/http/impl/cookie/AbstractCookieAttributeHandler;-><init>
Lorg/apache/http/impl/cookie/CookieSpecBase;-><init>
Lorg/apache/http/impl/cookie/RFC2109Spec;-><init>
Lorg/apache/http/impl/io/AbstractMessageWriter;-><init>
Lorg/apache/http/message/BasicHttpRequest;-><init>
Landroid/app/KeyguardManager;->newKeyguardLock
Landroid/app/KeyguardManager$KeyguardLock;->disableKeyguard
Lcom/datecs/api/universalreader/UniversalReader;->access$1
Lorg/apache/http/message/BasicHttpResponse;->getStatusLine
Ljava/util/concurrent/ThreadPoolExecutor;->shutdownNow
Landroid/widget/CheckBox;->setTag
Landroid/nfc/NfcAdapter;->enableForegroundDispatch
Ljava/io/DataInputStream;->available
Landroid/widget/ListView;->invalidate
Ljava/lang/System;->runFinalizersOnExit
Ljavax/net/ssl/SSLException;->getMessage
Ljava/util/Observable;-><init>
Landroid/support/a/a/f;-><init>
Landroid/support/a/a/g;-><init>
Ljava/util/UUID;->nameUUIDFromBytes
Lr;->a
Landroid/widget/TextView;->setIncludeFontPadding
Landroid/opengl/GLES20;->glBindAttribLocation
Landroid/opengl/GLES20;->glUniform1i
